hover_x_pct,window_left_pct,window_right_pct,n_local,n_true_pneumoniae,n_true_mitis_oralis,real_prob_pneumoniae_pct,real_prob_mitis_oralis_pct,mean_model_probability_pct_in_window,median_model_probability_pct_in_window,min_model_probability_pct_in_window,max_model_probability_pct_in_window
0.0,-2.5,2.5,14,0,14,0.0,100.0,1.9714285714285715,2.1999999999999997,0.6,2.4
1.0,-1.5,3.5,38,1,37,2.631578947368421,97.36842105263158,2.636842105263158,2.7,0.6,3.4000000000000004
2.0,-0.5,4.5,71,2,69,2.8169014084507045,97.1830985915493,3.3183098591549296,3.4000000000000004,0.6,4.3999999999999995
3.0,0.5,5.5,112,2,110,1.7857142857142856,98.21428571428571,3.9285714285714293,4.1000000000000005,0.6,5.4
4.0,1.5,6.5,163,3,160,1.8404907975460123,98.15950920245399,4.625766871165644,4.8,1.6,6.4
5.0,2.5,7.5,193,3,190,1.5544041450777202,98.44559585492227,5.304663212435233,5.4,2.6,7.3999999999999995
6.0,3.5,8.5,228,2,226,0.8771929824561403,99.12280701754386,6.230701754385964,6.2,3.5999999999999996,8.4
7.0,4.5,9.5,252,2,250,0.7936507936507936,99.20634920634922,7.133333333333333,7.3,4.6,9.4
8.0,5.5,10.5,263,3,260,1.1406844106463878,98.85931558935361,8.038783269961977,8.0,5.6000000000000005,10.4
9.0,6.5,11.5,269,4,265,1.486988847583643,98.51301115241635,9.11003717472119,9.2,6.6000000000000005,11.4
10.0,7.5,12.5,277,5,272,1.8050541516245486,98.19494584837545,9.942960288808662,10.0,7.6,12.4
11.0,8.5,13.5,255,5,250,1.9607843137254901,98.0392156862745,10.845490196078432,11.0,8.6,13.4
12.0,9.5,14.5,246,4,242,1.6260162601626018,98.3739837398374,11.900813008130083,11.600000000000001,9.6,14.399999999999999
13.0,10.5,15.5,255,11,244,4.313725490196078,95.68627450980392,13.025882352941176,13.0,10.6,15.4
14.0,11.5,16.5,247,11,236,4.4534412955465585,95.54655870445345,14.119838056680159,14.2,11.600000000000001,16.400000000000002
15.0,12.5,17.5,239,11,228,4.602510460251046,95.39748953974896,15.075313807531382,15.0,12.6,17.4
16.0,13.5,18.5,236,13,223,5.508474576271186,94.49152542372882,15.826271186440676,15.7,13.600000000000001,18.4
17.0,14.5,19.5,241,16,225,6.639004149377594,93.3609958506224,16.867219917012445,16.8,14.6,19.400000000000002
18.0,15.5,20.5,212,9,203,4.245283018867925,95.75471698113208,17.880188679245283,18.0,15.6,20.4
19.0,16.5,21.5,194,12,182,6.185567010309279,93.81443298969072,18.897938144329895,18.8,16.6,21.4
20.0,17.5,22.5,184,14,170,7.608695652173914,92.3913043478261,19.86195652173913,19.6,17.599999999999998,22.400000000000002
21.0,18.5,23.5,174,20,154,11.494252873563218,88.50574712643679,20.662068965517243,20.599999999999998,18.6,23.400000000000002
22.0,19.5,24.5,152,23,129,15.131578947368421,84.86842105263158,21.952631578947372,21.8,19.6,24.4
23.0,20.5,25.5,145,22,123,15.172413793103448,84.82758620689656,22.904827586206896,23.0,20.599999999999998,25.4
24.0,21.5,26.5,141,21,120,14.893617021276595,85.1063829787234,24.00567375886525,24.0,21.6,26.400000000000002
25.0,22.5,27.5,135,21,114,15.555555555555555,84.44444444444444,25.06518518518518,25.0,22.6,27.400000000000002
26.0,23.5,28.5,137,16,121,11.678832116788321,88.32116788321169,25.96350364963504,26.200000000000003,23.599999999999998,28.4
27.0,24.5,29.5,123,14,109,11.38211382113821,88.6178861788618,26.853658536585375,27.0,24.6,29.4
28.0,25.5,30.5,119,18,101,15.126050420168067,84.87394957983193,27.798319327731093,27.6,25.6,30.4
